Plot_2;Plot_2;Subplot;Date;Landuse;Area;Latitude;Longitude;Precision;Elevation;Aspect;Inclination;Max_microrelief ;Soil depth_Mean;Soil depth_SD;Vegetation_height_Mean;Vegetation_height_SD;Cover_Veg;Cover_H;Cover_C;Cover_Litter;Cover_Dead_wood;Cover_Stones;Cover_Gravel;Cover_Fine soil
CH12A;CH12;A;12.04.2019;Lawn;Schloss;2693719;1230829;3.2;436;360;1;3;17;5.2;2.9;0.7;NA;98;NA;8;0;0;2;98
CH12B;CH12;B;12.04.2019;Lawn;Schloss;2693705;1230825;2.9;436;17;6;4;24.5;7.6;4.1;1.3;100;100;NA;40;0;0;0;100
CH13A;CH13;A;12.04.2019;Meadow;Bib.;2693977;1230347;2.7;470;NA;8;8;28.1;5.1;14;2.7;95;95;10;10;0;0;0;100
CH13B;CH13;B;12.04.2019;Meadow;Bib.;2693980;1230334;3.1;473;NA;6;7;45.4;5;15;4.5;96;96;5;10;0;0;0;100
CH14A;CH14;A;12.04.2019;Lawn;Schloss;2693694;1230829;3.2;434;315;1;3;18;2.8;2.7;0.5;99;74;25;5;0;0;0;100
CH14B;CH14;B;12.04.2019;Lawn;Bib.;2693707;1230836;3;436;23;3;1;18.2;2.6;3.4;1.2;NA;99;1;0.5;0;0;0;100
CH15A;CH15;A;12.04.2019;Meadow;Bib.;2694046;1230326;2.8;469;NA;NA;9;28.4;3.2;10.2;2.9;NA;90;1;1;1;0;0;100
CH15B;CH15;B;12.04.2019;Meadow;Bib.;2694042;1230339;3.2;470;NA;3;8;37.2;2.3;10.4;2.4;99;98.9;0.1;8;0;0;22;75
CH16A;CH16;A;12.04.2019;Lawn;Schloss;2693691;1230839;3.6;434;23;8;3;17.8;7.3;3.4;1;100;80;30;8;0;0;0;100
CH16B;CH16;B;12.04.2019;Lawn;Schloss;2693686;1230845;3.5;433;NA;2;3;9.5;3.3;2.5;0.5;100;80;30;8;0;0;0;100
CH17A;CH17;A;12.04.2019;Meadow;Bib.;2694020;1230359;2.8;467;NA;6;5;34.7;4.7;11.2;1.4;100;100;10;2;0;0;0;100
CH17B;CH17;B;12.04.2019;Meadow;Bib.;2694026;1230346;2.7;469;NA;6;5;36.5;4.4;9.9;1.6;100;100;10;NA;0;0;0;100
CH18A;CH18;A;12.04.2019;Lawn;Schloss;2693672;1230910;4;431;360;NA;NA;49.8;14.8;3.6;0.4;99;98;1;15;0;0;5;80
CH18B;CH18;B;12.04.2019;Lawn;Schloss;2693668;1230923;2.9;428;350;10;3;24.4;5.9;4.4;1.2;100;90;18;17;0;0;0;100
